,BAT ID,RA,DEC,z[OIII]_x,log_Lbol,Lbol Ref,log_Mbh,log_Mbh err (lower),log_Mbh err (upper),Mbh Ref,log_Eratio,Eratio Ref
0,1,0.2032,-7.1532,0.037483987,44.53,Swift,6.42,0.1,0.1,GH05,0.0,Swift
1,2,0.4419,-76.954,0.05849433,44.82,Swift,,,,None,,None
2,4,0.8643,27.6548,0.039689372,44.58,Swift,7.85,0.3,0.3,stellar,,None
3,5,1.0082,70.3217,0.096416239,45.38,Swift,,,,None,,None
4,6,1.5813,20.2029,0.025934098,44.8,BASS,7.29,0.3,0.3,TN12,-0.67,TN12
5,7,2.2982,-0.6152,0.073294542,44.99,Swift,8.91,0.32,0.32,stellar,,None
6,8,2.6292,10.9749,0.089375801,45.28,BASS,8.45,0.3,0.3,TN12,-1.34,TN12
7,10,5.2814,-19.1682,0.095730921,45.5,Swift,9.16,0.32,0.32,stellar,,None
8,13,6.387,68.3623,0.012485797,43.71,Swift,,,,None,,None
9,14,6.6695,-53.1633,0.063199949,45.04,Swift,,,,None,,None
10,16,7.3067,13.2675,0.139991432,45.5,BASS,7.93,0.3,0.3,TN12,-0.61,TN12
11,18,8.3266,61.462,0.104146548,45.49,Swift,8.84,0.1,0.1,GH05,-1.46,Swift
12,20,8.6368,-4.4033,0.213136154,46.24,Swift,,,,None,,None
13,24,9.6339,23.6133,0.025434488,44.35,Swift,,,,None,,None
14,28,10.72,-23.541,0.022065342,44.63,Swift,6.93,0.1,0.1,GH05,-0.42,Swift
15,29,10.7578,30.2888,0.052137757,44.6,Swift,,,,None,,None
16,31,10.7865,-11.601,0.019225745,43.78,Swift,,,,None,,None
17,32,11.586,-40.097,0.20087388,46.08,Swift,,,,None,,None
18,33,12.1964,31.957,0.015010814,44.8,Swift,6.02,0.1,0.1,GH05,0.66,Swift
19,36,12.9783,17.4329,0.060027655,44.37,BASS,7.82,0.3,0.3,TN12,-1.63,TN12
20,39,13.7171,25.4272,0.160055235,45.58,BASS,8.64,0.3,0.3,TN12,-1.24,TN12
21,43,14.972,31.8269,0.015163216,43.85,BASS,7.21,0.3,0.3,TN12,-1.54,TN12
22,44,15.1457,-47.8676,0.048433931,44.86,Swift,8.42,0.36,0.36,stellar,,None
23,45,15.3517,-3.1445,0.06983292,44.99,Swift,,,,None,,None
24,49,16.3617,-42.2162,0.030292567,44.31,Swift,8.56,0.31,0.31,stellar,,None
25,50,16.4082,-47.0717,0.019233351,43.69,Swift,7.5,1.0,1.0,stellar,,None
26,51,16.4117,-14.2704,0.066782835,45.05,Swift,,,,None,,None
27,53,16.6886,6.6339,0.041,44.69,Swift,,,,None,,None
28,55,16.9152,-11.6532,0.047480214,44.65,Swift,8.08,0.36,0.36,stellar,,None
29,58,17.865,-38.083,0.010884928,43.64,Swift,5.81,0.1,0.1,GH05,-0.28,Swift
30,61,18.4587,-14.8456,0.052998635,44.26,BASS,7.74,0.3,0.3,TN12,-1.65,TN12
31,60,18.4626,13.2717,0.048880685,44.18,BASS,7.22,0.3,0.3,TN12,-1.22,TN12
32,62,18.5292,-32.6509,0.012099669,43.57,Swift,7.3,0.46,0.46,stellar,,None
33,63,18.6038,-55.3971,0.012244797,43.67,Swift,8.52,0.45,0.45,stellar,,None
34,64,19.0618,31.0338,0.017654438,43.83,Swift,,,,None,,None
35,70,20.6435,50.055,0.020580137,43.99,Swift,8.41,0.38,0.38,stellar,,None
36,73,20.9408,-58.8057,0.045991104,44.92,BASS,8.05,0.3,0.3,TN12,-1.3,TN12
37,72,20.9766,-35.0654,0.018902453,44.61,Swift,8.17,0.41,0.41,stellar,,None
38,74,21.1119,33.7995,0.019138023,44.13,Swift,7.89,0.34,0.34,stellar,,None
39,77,21.8856,19.1788,0.016687223,44.27,BASS,6.61,0.3,0.3,TN12,-0.52,TN12
40,79,22.1017,16.4593,0.038738252,44.61,Swift,5.81,0.1,0.1,GH05,0.69,Swift
41,80,22.2818,-60.645,0.203481489,45.95,Swift,7.54,0.1,0.1,GH05,0.3,Swift
42,81,22.4636,-42.3265,0.025022677,44.01,Swift,7.39,0.32,0.32,stellar,,None
43,82,22.5887,-46.0292,0.111620125,45.24,Swift,,,,None,,None
44,83,22.9601,-33.1193,0.016269782,43.84,Swift,7.69,0.35,0.35,stellar,,None
45,84,23.4906,-36.4933,0.029771,44.95,Swift,8.99,0.33,0.33,stellar,,None
46,85,23.6902,-4.5036,0.079258986,45.45,Swift,,,,None,,None
47,87,24.6548,-40.0114,0.025197912,44.9,Swift,8.45,0.31,0.31,stellar,,None
48,88,24.85,29.4019,0.072713676,44.82,Swift,7.52,0.1,0.1,GH05,-0.82,Swift
49,89,25.1116,-53.3276,0.072115898,45.1,Swift,,,,None,,None
50,90,25.4906,39.3914,0.079629018,44.71,BASS,8.87,0.3,0.3,TN12,-2.34,TN12
51,94,27.3428,-50.2521,0.029834032,44.08,BASS,7.87,0.3,0.3,TN12,-1.96,TN12
52,95,27.9245,-36.1878,0.033258742,44.23,Swift,8.46,0.33,0.33,stellar,,None
53,96,28.2042,-3.4468,0.017197,44.09,Swift,,,,None,,None
54,99,29.2956,47.2666,0.047790728,44.81,BASS,7.54,0.3,0.3,TN12,-0.9,TN12
55,102,30.2769,-6.8155,0.013653008,44.43,Swift,8.21,0.34,0.34,stellar,,None
56,106,31.5666,-0.2914,0.042974155,44.74,BASS,8.03,0.3,0.3,TN12,-1.47,TN12
57,111,32.1455,-17.6594,0.129089772,45.22,BASS,9.23,0.3,0.3,TN12,-2.19,TN12
58,113,32.394044,52.442438,0.049350373,44.89,BASS,8.08,0.3,0.3,TN12,-1.36,TN12
59,114,32.7189,-49.6985,0.049725362,44.57,Swift,,,,None,,None
60,116,33.64,-0.767,0.026598665,44.31,BASS,8.0,0.3,0.3,TN12,-1.86,TN12
61,118,33.9062,-12.9918,0.1478803,45.82,Swift,8.43,0.31,0.31,stellar,,None
62,119,34.111375,51.423639,0.0288,44.46,Swift,,,,None,,None
63,120,34.3784,73.8257,2.367,49.08,Swift,,,,None,,None
64,123,35.8878917,45.821175,0.061284264,45.03,Swift,,,,None,,None
65,124,36.2612,-23.2133,0.232011241,46.12,Swift,,,,None,,None
66,126,36.2876,-63.224,0.057082834,44.96,Swift,,,,None,,None
67,127,36.6070417,-28.3496694,0.059877667,44.76,BASS,7.91,0.3,0.3,TN12,-1.34,TN12
68,129,37.0603,31.3117,0.016304275,44.08,BASS,7.29,0.3,0.3,TN12,-1.38,TN12
69,130,37.5227,-8.9979,0.015901506,44.13,BASS,6.44,0.3,0.3,TN12,-0.48,TN12
70,131,37.9625,-36.6721,0.01664838,43.98,Swift,6.06,0.1,0.1,GH05,-0.19,Swift
71,133,38.5838,32.5056,0.015968556,44.16,Swift,8.86,0.43,0.43,stellar,,None
72,134,38.6574,-8.7876,0.043008294,44.42,BASS,7.92,0.3,0.3,TN12,-1.68,TN12
73,135,38.8061,-29.6047,0.059968164,45.2,Swift,,,,None,,None
74,136,39.5821,-52.1923,0.0455,45.06,Swift,,,,None,,None
75,137,39.6796,-61.2896,0.054296686,44.84,Swift,,,,None,,None
76,138,39.704,-40.6439,0.06128239,44.98,Swift,,,,None,,None
77,140,40.27,-8.2558,0.004456116,43.03,Swift,5.6,0.1,0.1,GH05,-0.68,Swift
78,142,40.5158,5.1684,0.069,45.05,Swift,9.23,0.29,0.29,stellar,,None
79,144,40.6696,-0.0133,0.003026845,42.73,Swift,6.52,0.1,0.1,GH05,-1.91,Swift
80,145,41.0125,53.4745,0.036390163,44.32,Swift,,,,None,,None
81,147,41.2404,62.4685,0.049485102,44.15,BASS,8.09,0.3,0.3,TN12,-2.12,TN12
82,149,42.2472,26.5109,0.058232635,45.34,Swift,9.15,0.33,0.33,stellar,,None
83,150,42.6133,46.7915,0.021364827,44.22,Swift,6.01,0.1,0.1,GH05,0.1,Swift
84,151,42.6775,54.7049,0.015294995,44.06,Swift,,,,None,,None
85,153,42.918,-16.651,0.011284449,43.6,Swift,7.34,0.9,0.9,stellar,,None
86,156,43.0975,-8.5104,0.016748207,44.12,Swift,7.79,0.3,0.3,stellar,,None
87,157,43.8008,-0.1836,0.028942089,45.13,Swift,9.25,0.3,0.3,stellar,,None
88,159,44.0898,-32.1856,0.016879267,44.2,Swift,,,,None,,None
89,162,45.018,-10.8246,0.032648414,44.61,BASS,8.71,0.3,0.3,TN12,-2.28,TN12
90,163,45.9546,-1.1037,0.013571922,44.08,Swift,8.12,0.29,0.29,stellar,,None
91,164,46.8972,-72.834,0.027788744,44.25,Swift,,,,None,,None
92,165,47.0449,-22.9608,0.035699769,44.41,Swift,8.27,0.34,0.34,stellar,,None
93,167,47.8284,-20.7717,0.066164784,44.46,BASS,8.0,0.3,0.3,TN12,-1.72,TN12
94,169,48.0123,50.4874,0.062397785,44.73,BASS,8.02,0.3,0.3,TN12,-1.47,TN12
95,170,48.258,41.333,0.134480223,45.01,BASS,9.16,0.3,0.3,TN12,-2.33,TN12
96,171,49.2592,1.255,0.023664542,44.13,Swift,7.82,0.32,0.32,stellar,,None
97,172,49.5791,68.4921,0.08946458,45.45,Swift,,,,None,,None
98,173,49.9507,41.5117,0.019193427,44.14,BASS,6.48,0.3,0.3,TN12,-0.52,TN12
99,178,51.348,-56.5957,0.060235,44.78,Swift,9.1,0.31,0.31,stellar,,None
100,179,52.1522,-28.6989,0.108793082,45.51,Swift,,,,None,,None
101,180,52.7174,5.6404,0.045763134,44.64,Swift,7.28,0.1,0.1,GH05,-0.76,Swift
102,182,52.8459,-5.1418,0.013158945,43.6,Swift,7.07,0.75,0.75,stellar,,None
103,183,53.3282,37.303,0.05469745,44.84,BASS,8.05,0.3,0.3,TN12,-1.39,TN12
104,184,53.4016,-36.1404,0.005329368,43.31,Swift,,,,None,,None
105,185,53.6022,-15.2277,0.034814949,44.45,Swift,,,,None,,None
106,188,54.1255,32.3082,1.258,48.51,Swift,,,,None,,None
107,189,55.5155,-21.2444,0.01439698,44.22,Swift,,,,None,,None
108,190,56.3022,-39.5748,0.040032044,44.53,BASS,7.8,0.3,0.3,TN12,-1.45,TN12
109,192,57.3467,-11.9908,0.032058976,44.5,Swift,,,,None,,None
110,193,57.595667,-50.302611,0.036492,44.71,Swift,,,,None,,None
111,194,57.9237,-40.4665,0.058681123,44.9,Swift,,,,None,,None
112,195,58.2396,-68.5214,0.087,45.37,Swift,,,,None,,None
113,196,58.427,37.235,0.018643818,43.98,Swift,8.54,0.33,0.33,stellar,,None
114,197,58.5395,2.8252,0.03547367,44.26,BASS,7.19,0.3,0.3,TN12,-1.11,TN12
115,199,59.083,-62.861,0.107564061,45.47,Swift,,,,None,,None
116,200,59.2356,-40.696,0.074722047,45.33,Swift,,,,None,,None
117,203,59.7868,-30.3029,0.093992664,45.29,Swift,,,,None,,None
118,202,59.8354,-30.2027,0.097613904,45.21,Swift,,,,None,,None
119,205,60.607,-18.048,0.026318603,44.5,Swift,8.07,0.41,0.41,stellar,,None
120,206,60.974,-36.0839,1.422838,48.06,Swift,,,,None,,None
121,207,61.257,-37.1875,0.055210495,44.8,Swift,,,,None,,None
122,208,61.3917,-13.1371,0.56987977,46.47,BASS,9.04,0.3,0.3,TN12,-0.74,TN12
123,209,61.8186,3.7072,0.08839173,45.64,Swift,,,,None,,None
124,213,63.7195,-7.9278,0.039921548,44.52,BASS,7.85,0.3,0.3,TN12,-1.5,TN12
125,214,64.5887,38.0266,0.04928543,45.36,BASS,8.27,0.3,0.3,TN12,-1.09,TN12
126,216,65.0017,-54.9378,0.005017,42.49,Swift,5.74,0.1,0.1,GH05,-1.37,Swift
127,217,65.6007,-56.226,0.043526279,44.88,Swift,,,,None,,None
128,218,65.9199,4.1338,0.046157304,44.98,Swift,,,,None,,None
129,220,66.5035,-57.2001,0.104097835,45.32,BASS,8.07,0.3,0.3,TN12,-0.94,TN12
130,224,67.4095,-21.1622,0.070005118,45.1,BASS,8.82,0.3,0.3,TN12,-1.89,TN12
131,223,67.4475875,-67.055625,0.064972102,44.83,BASS,7.94,0.3,0.3,TN12,-1.28,TN12
132,226,68.2962,5.3543,0.032980885,44.02,BASS,7.11,0.3,0.3,TN12,-1.26,TN12
133,227,68.3638,-58.7263,0.102607433,45.37,Swift,8.5,0.4,0.4,stellar,,None
134,228,69.093,-10.376,0.034621521,44.69,BASS,7.5,0.3,0.3,TN12,-0.98,TN12
135,230,69.5591,-10.7959,0.035905104,44.49,BASS,8.33,0.3,0.3,TN12,-2.01,TN12
136,232,70.1989,27.6631,0.037564951,44.57,BASS,8.07,0.3,0.3,TN12,-1.67,TN12
137,237,71.0376,28.2168,0.010373888,44.01,Swift,8.17,0.36,0.36,stellar,,None
138,239,71.624,18.4609,0.015763759,43.81,Swift,5.97,0.1,0.1,GH05,-0.28,Swift
139,242,72.9229,-3.8094,0.015607057,43.83,BASS,7.25,0.3,0.3,TN12,-1.59,TN12
140,243,72.9335,-58.1835,0.090726507,45.54,Swift,7.92,0.1,0.1,GH05,-0.49,Swift
141,244,73.0208,49.5459,0.028701053,44.58,BASS,8.12,0.3,0.3,TN12,-1.71,TN12
142,245,73.3573,4.0616,0.029586628,44.66,Swift,8.31,0.32,0.32,stellar,,None
143,246,73.6788,-43.2397,0.086994411,45.22,Swift,,,,None,,None
144,247,73.9957,-75.5412,0.018134917,44.1,Swift,,,,None,,None
145,249,74.983667,27.100583,0.061155353,45.25,Swift,,,,None,,None
146,254,75.7426,22.9977,0.058195505,45.22,BASS,7.97,0.3,0.3,TN12,-0.92,TN12
147,256,76.1425,-73.8242,0.045092574,44.51,Swift,,,,None,,None
148,258,76.4405,-23.8539,0.036321673,45.17,Swift,,,,None,,None
149,260,77.082,17.363,0.01735897,44.15,Swift,6.54,0.1,0.1,GH05,-0.5,Swift
150,261,77.6896,16.4989,0.017338227,43.95,BASS,7.29,0.3,0.3,TN12,-1.51,TN12
151,262,77.9908,-18.4939,0.042044347,44.66,Swift,8.28,0.34,0.34,stellar,,None
152,265,78.8324,18.9143,0.023433798,44.47,Swift,9.09,0.35,0.35,stellar,,None
153,266,79.0476,-0.1498,0.032462511,45.52,BASS,8.72,0.3,0.3,TN12,-1.38,TN12
154,268,79.0882,-10.5615,0.028676403,44.31,Swift,,,,None,,None
155,269,79.8993,-32.6578,0.012528829,43.89,BASS,7.42,0.3,0.3,TN12,-1.7,TN12
156,270,79.957,-45.779,0.035058,44.94,Swift,,,,None,,None
157,273,80.7416,-36.4586,0.056546,45.32,Swift,,,,None,,None
158,274,81.028875,-12.1690861,0.049165401,45.33,BASS,8.76,0.3,0.3,TN12,-1.6,TN12
159,279,81.6135,-21.2866,0.027684529,44.29,Swift,8.05,0.4,0.4,stellar,,None
160,285,83.2397,13.7525,0.023990921,44.01,BASS,8.05,0.3,0.3,TN12,-2.21,TN12
161,291,83.8838,40.1877,0.020650276,44.25,BASS,7.06,0.3,0.3,TN12,-0.99,TN12
162,301,85.8873,-27.6514,0.009189968,43.64,BASS,6.98,0.3,0.3,TN12,-1.52,TN12
163,302,86.0,-43.424,0.044640722,44.43,Swift,,,,None,,None
164,303,86.0941,59.1267,0.067250309,45.36,Swift,,,,None,,None
165,304,86.8121,50.6404,0.03580937,44.76,Swift,,,,None,,None
166,306,87.6699,-32.2716,0.069,45.17,Swift,,,,None,,None
167,308,88.0474,-7.4562,0.007391231,44.59,Swift,9.25,0.31,0.31,stellar,,None
168,310,88.7234,46.4393,0.020088158,44.39,BASS,7.62,0.3,0.3,TN12,-1.4,TN12
169,311,88.8784,39.8137,2.365,48.79,Swift,,,,None,,None
170,313,89.5083,-38.3346,0.034435983,44.25,BASS,6.87,0.3,0.3,TN12,-0.8,TN12
171,314,89.9474,-50.4477,0.136733368,45.28,BASS,7.33,0.3,0.3,TN12,-0.22,TN12
172,316,90.5436542,28.4720528,0.032887838,44.6,BASS,7.79,0.3,0.3,TN12,-1.36,TN12
173,317,90.6581,65.3712,0.017491274,44.01,Swift,8.94,0.42,0.42,stellar,,None
174,319,91.4235,-86.6319,0.006228,43.21,Swift,,,,None,,None
175,318,91.454,-27.9112,0.089770697,44.77,BASS,8.12,0.3,0.3,TN12,-1.53,TN12
176,320,92.5272,-62.7201,0.156015954,45.7,Swift,,,,None,,None
177,325,93.9015,71.0375,0.013439014,44.66,Swift,6.8,0.1,0.1,GH05,-0.25,Swift
178,329,95.94,-60.979,0.040521,44.94,Swift,,,,None,,None
179,330,95.9434,-32.2166,0.022436809,44.35,Swift,,,,None,,None
180,334,96.7442,-37.0996,0.038665227,44.51,Swift,,,,None,,None
181,337,98.196542,63.673667,0.04041651,44.53,Swift,7.61,0.66,0.66,stellar,,None
182,338,98.514667,-74.777111,0.111915744,45.19,BASS,8.22,0.3,0.3,TN12,-1.2,TN12
183,342,100.0487,-25.8954,0.02485,44.63,Swift,,,,None,,None
184,344,100.1583,-43.3558,0.060858532,45.12,Swift,,,,None,,None
185,345,100.3252,32.8254,0.048603019,45.19,Swift,8.12,0.35,0.35,stellar,,None
186,347,103.0511,74.4271,0.01901138,44.8,BASS,8.2,0.3,0.3,TN12,-1.58,TN12
187,348,103.6424167,7.0558333,0.023953648,44.27,Swift,6.68,0.1,0.1,GH05,-0.53,Swift
188,349,103.9564,40.0002,0.016922744,44.04,Swift,6.91,0.1,0.1,GH05,-0.98,Swift
189,350,104.0498,-49.3306,0.041006118,44.58,Swift,8.61,0.32,0.32,stellar,,None
190,353,104.7945,24.0278,0.091204354,45.3,Swift,,,,None,,None
191,358,107.1803,-46.7137,0.046839772,44.75,Swift,8.25,0.37,0.37,stellar,,None
192,360,107.3087,-36.0227,0.1108,45.7,Swift,,,,None,,None
193,362,108.5161,35.2793,0.01578871,43.88,Swift,6.25,0.1,0.1,GH05,-0.49,Swift
194,363,108.5628,45.6988,0.059803336,44.99,BASS,8.17,0.3,0.3,TN12,-1.36,TN12
195,372,111.8377083,-24.1089861,0.121593191,45.8,Swift,9.31,0.1,0.1,GH05,-1.63,Swift
196,376,113.2883,45.9184,0.141755238,45.56,BASS,8.36,0.3,0.3,TN12,-0.99,TN12
197,378,114.2374,58.7704,0.039851445,44.61,BASS,7.59,0.3,0.3,TN12,-1.15,TN12
198,379,114.9362,-31.7174,0.026433636,44.53,Swift,,,,None,,None
199,382,115.6367,49.8097,0.0221231,44.49,BASS,7.64,0.3,0.3,TN12,-1.33,TN12
200,383,115.6739,65.1771,0.036586396,44.43,Swift,,,,None,,None
201,384,115.8114,-25.7639,0.023850532,44.01,BASS,7.0,0.3,0.3,TN12,-1.17,TN12
202,385,116.038034,29.247405,0.016050937,43.9,Swift,7.81,0.33,0.33,stellar,,None
203,387,116.6078,25.8173,2.993667126,49.48,Swift,,,,None,,None
204,389,116.8714,60.9335,0.029397042,44.44,BASS,7.41,0.3,0.3,TN12,-1.14,TN12
205,390,116.9098,-73.4314,0.035929255,44.53,Swift,,,,None,,None
206,394,118.0743,19.5951,0.117289975,45.41,BASS,9.36,0.3,0.3,TN12,-2.13,TN12
207,395,118.1842,45.9493,0.051636873,44.89,Swift,7.79,0.1,0.1,GH05,-1.01,Swift
208,397,119.0817,-41.6284,0.021031,43.93,Swift,6.32,0.1,0.1,GH05,-0.5,Swift
209,398,119.9242,-38.7322,0.040200892,44.9,BASS,8.45,0.3,0.3,TN12,-1.72,TN12
210,399,119.9728,23.3901,0.028940753,44.73,Swift,5.8,0.1,0.1,GH05,0.82,Swift
211,400,120.0874,26.6135,0.026558096,44.62,Swift,6.38,0.1,0.1,GH05,0.13,Swift
212,403,120.8641,8.6978,0.047144044,44.27,BASS,7.69,0.3,0.3,TN12,-1.6,TN12
213,404,121.0244,5.1138,0.013540357,44.25,Swift,6.2,0.1,0.1,GH05,-0.06,Swift
214,405,121.1933,10.7767,0.034855809,44.53,Swift,8.21,0.3,0.3,stellar,,None
215,406,121.2208,-1.1466,0.091465427,45.35,Swift,8.45,0.41,0.41,stellar,,None
216,408,121.921,39.0042,0.023160813,43.97,Swift,6.07,0.1,0.1,GH05,-0.21,Swift
217,409,122.744,76.045,0.098869577,45.44,BASS,8.13,0.3,0.3,TN12,-0.86,TN12
218,411,123.6055,4.3424,0.034263681,44.24,BASS,6.99,0.3,0.3,TN12,-0.93,TN12
219,413,124.561,1.374,0.088970831,45.53,Swift,,,,None,,None
220,416,125.7546,-4.9349,0.022236501,44.62,Swift,8.14,0.31,0.31,stellar,,None
221,418,127.4277,41.9102,0.126418143,44.71,BASS,8.56,0.3,0.3,TN12,-2.03,TN12
222,419,127.5689,-67.4248,0.034685526,44.25,Swift,,,,None,,None
223,420,128.106,37.127,0.092264048,45.14,BASS,9.13,0.3,0.3,TN12,-2.17,TN12
224,425,129.9609,-12.2428,0.19768016,45.41,BASS,8.27,0.3,0.3,TN12,-1.03,TN12
225,426,130.0099,29.8174,0.064742323,45.11,Swift,8.77,0.31,0.31,stellar,,None
226,428,130.3515,70.8951,2.172,49.28,Swift,,,,None,,None
227,429,130.5232,7.9904,0.133675467,45.77,Swift,8.78,0.1,0.1,GH05,-1.13,Swift
