,RA,DEC,CL2,TYPE,,
0,0.2,-7.2,2,Galaxy,,0.2|-7.2
1,0.4,-77,4,Sy1,,0.4|-77
2,0.6,3.4,4,Sy1.5,,0.6|3.4
3,0.9,27.7,2,Galaxy,,0.9|27.7
4,1,70.3,5,Sy2,,1|70.3
5,1.6,20.2,4,Sy1.2,,1.6|20.2
6,2.3,-0.6,5,Sy2,,2.3|-0.6
7,2.6,11,4,Sy1.2,,2.6|11
8,4.3,81.6,8,QSO/FSRQ,,4.3|81.6
9,5.3,-19.2,5,Sy2,,5.3|-19.2
10,5.7,61.7,9,CV,,5.7|61.7
11,6.3,64.2,11,SNR,,6.3|64.2
12,6.4,68.4,5,Sy2,,6.4|68.4
13,6.7,-53.2,4,Sy1.2,,6.7|-53.2
14,7.2,59.3,9,CV/DQHer,,7.2|59.3
15,7.3,13.3,8,Sy1/RQQ,,7.3|13.3
16,7.7,-59.1,0,transient,,7.7|-59.1
17,8.3,61.5,4,Sy1.5,,8.3|61.5
18,8.6,-79.1,4,Sy1,,8.6|-79.1
19,8.6,-4.4,6,Galaxy,,8.6|-4.4
20,9,59.8,7,BLLac,,9|59.8
21,9.1,45.7,4,Sy1.2,,9.1|45.7
22,9.3,61.4,13,HMXB,,9.3|61.4
23,9.6,23.6,2,Galaxy,,9.6|23.6
24,10.2,24.8,0,SRC/Radio,,10.2|24.8
25,10.4,-9.3,3,GalaxyCluster,,10.4|-9.3
26,10.7,41.2,0,inM31,,10.7|41.2
27,10.7,-23.5,4,Sy1,,10.7|-23.5
28,10.8,30.3,2,Galaxy,,10.8|30.3
29,10.7,30.3,8,Sy1,,10.7|30.3
30,10.8,-11.6,5,Sy2,,10.8|-11.6
31,11.6,-40.1,2,Galaxy,,11.6|-40.1
32,12.2,32,5,Sy2/FSRQ,,12.2|32
33,12.9,29.4,4,Sy1.0,,12.9|29.4
34,13.1,-73.3,13,HMXB,,13.1|-73.3
35,13,17.4,4,Sy1,,13|17.4
36,13,-27.4,2,Galaxy,,13|-27.4
37,13.5,-72.4,13,HMXB,,13.5|-72.4
38,13.7,25.4,4,Sy1.2,,13.7|25.4
39,13.8,46.2,9,CV/DQHer,,13.8|46.2
40,14.2,60.7,12,Star/Be,,14.2|60.7
41,14.3,64,0,SRC/RADIO,,14.3|64
42,15,31.8,4,Sy1,,15|31.8
43,15.1,-47.9,5,Sy1.8,,15.1|-47.9
44,15.4,-3.1,5,Sy1.8,,15.4|-3.1
45,16.2,-72.9,13,HMXBinSMC,,16.2|-72.9
46,15.7,-72.7,13,HMXB,,15.7|-72.7
47,15.9,-64.7,8,FSRQ,,15.9|-64.7
48,16.4,-42.2,5,Sy2,,16.4|-42.2
49,16.4,-47.1,2,Galaxy,,16.4|-47.1
50,16.4,-14.3,4,Sy1,,16.4|-14.3
51,16.4,-34.5,4,Sy1,,16.4|-34.5
52,16.7,6.6,5,Sy2,,16.7|6.6
53,16.9,-11.7,2,,,16.9|-11.7
54,16.9,-11.7,5,Sy2doublesource,,16.9|-11.7
55,16.8,-11.6,2,,,16.8|-11.6
56,17.2,13.3,5,Sy2,,17.2|13.3
57,17.9,-38.1,4,Sy1Sy2,,17.9|-38.1
58,18.3,25.3,6,AGN/FSRS,,18.3|25.3
59,18.5,13.3,4,Sy1,,18.5|13.3
60,18.5,-14.8,4,Sy1.5,,18.5|-14.8
61,18.5,-32.7,5,Sy2,,18.5|-32.7
62,18.6,-55.4,5,Sy2,,18.6|-55.4
63,19.1,31,2,GalaxyPair,,19.1|31
64,19.1,-12.6,2,Galaxy,,19.1|-12.6
65,19.3,-73.4,13,HMXB/NS,,19.3|-73.4
66,19.5,65.3,13,HMXB/NS,,19.5|65.3
67,19.6,63.7,13,HMXB,,19.6|63.7
68,20.5,-28.3,8,"Sy1,QSO",,20.5|-28.3
69,20.6,50.1,5,Sy2,,20.6|50.1
70,20.8,34.3,7,BLLac,,20.8|34.3
71,21,-35.1,4,Sy1.5,,21|-35.1
72,20.9,-58.8,4,Sy1,,20.9|-58.8
73,21.1,33.8,5,Sy2,,21.1|33.8
74,21.5,35.2,8,QSO,,21.5|35.2
75,21.5,15.3,4,Sy1,,21.5|15.3
76,21.9,19.2,4,Sy1.5,,21.9|19.2
77,22,-18.8,4,Sy1/NLSy1,,22|-18.8
78,22.1,16.5,2,Galaxy,,22.1|16.5
79,22.3,-60.6,2,Galaxy,,22.3|-60.6
80,22.5,-42.3,5,Sy2,,22.5|-42.3
81,22.6,-46,2,Galaxy,,22.6|-46
82,23,-33.1,5,Sy2,,23|-33.1
83,23.5,-36.5,5,Sy2,,23.5|-36.5
84,23.7,-4.5,6,AGN,,23.7|-4.5
85,24.1,39.1,7,BLLac,,24.1|39.1
86,24.7,-40,5,Sy2,,24.7|-40
87,24.8,29.4,2,Galaxy,,24.8|29.4
88,25.1,-53.3,5,Sy2,,25.1|-53.3
89,25.5,39.4,4,Sy1,,25.5|39.4
90,26.6,61.8,10,AXP,,26.6|61.8
91,27.2,21.8,2,Galaxy,,27.2|21.8
92,27.4,22,2,Galaxy,,27.4|22
93,27.3,-50.3,2,Galaxy,,27.3|-50.3
94,27.9,-36.2,5,Sy1,,27.9|-36.2
95,28.2,-3.4,5,Sy2,,28.2|-3.4
96,28.7,-27.1,8,QSO,,28.7|-27.1
97,28.9,2.5,4,Sy1,,28.9|2.5
98,29.3,47.3,2,Galaxy,,29.3|47.3
99,29.3,-73,13,HMXB,,29.3|-73
100,30.1,24.5,5,Sy2,,30.1|24.5
101,30.3,-6.8,5,Sy2,,30.3|-6.8
102,30.6,68.4,2,Galaxy,,30.6|68.4
103,30.4,68.4,2,Galaxy,,30.4|68.4
104,30.8,-24,4,Sy1.5,,30.8|-24
105,31.6,-0.3,4,Sy1.5,,31.6|-0.3
106,31.8,29.5,4,Sy1,,31.8|29.5
107,31.7,-74.5,13,HMXB,,31.7|-74.5
108,32.4,-74.5,15,XRBinSMC,,32.4|-74.5
109,32,44.8,2,Galaxy,,32|44.8
110,32.1,-17.7,4,Sy1.2,,32.1|-17.7
111,32.4,-10.2,5,GGROUP/LINER/Sy2,,32.4|-10.2
112,32.4,52.4,4,Sy1,,32.4|52.4
113,32.7,-49.7,5,Sy2,,32.7|-49.7
114,33.6,51.7,7,BLLac,,33.6|51.7
115,33.6,-0.8,4,Sy1.2,,33.6|-0.8
116,33.7,-64.5,4,Sy1,,33.7|-64.5
117,33.9,-13,5,Sy2,,33.9|-13
118,34.1,51.4,2,likelySy2,,34.1|51.4
119,34.4,73.8,7,BLLac,,34.4|73.8
120,35.5,52.4,8,Quasar,,35.5|52.4
121,35.6,25.1,2,Galaxy,,35.6|25.1
122,35.9,45.8,2,Galaxytriple,,35.9|45.8
123,36.3,-23.2,8,QSOSy1,,36.3|-23.2
124,36.3,18.8,7,BLLac,,36.3|18.8
125,36.3,-63.2,4,Sy1inGalaxyCluster,,36.3|-63.2
126,36.6,-28.4,4,Sy1GPAIR,,36.6|-28.4
127,36.7,23.8,2,Galaxy,,36.7|23.8
128,37.1,31.3,4,Sy1.5,,37.1|31.3
129,37.5,-9,4,Sy1,,37.5|-9
130,38,-36.7,5,Sy1.8,,38|-36.7
131,38.2,20.3,7,BLLac,,38.2|20.3
132,38.6,32.5,5,Sy2,,38.6|32.5
133,38.7,-8.8,4,Sy1,,38.7|-8.8
134,38.8,-29.6,5,Sy1.9,,38.8|-29.6
135,39.6,-52.2,4,Sy1,,39.6|-52.2
136,39.7,-61.3,2,Galaxy,,39.7|-61.3
137,39.7,-40.6,4,Sy1,,39.7|-40.6
138,40.1,61.2,13,HMXB,,40.1|61.2
139,40.3,-8.3,5,Sy2,,40.3|-8.3
140,40.4,7.2,4,Sy1.5,,40.4|7.2
141,40.5,5.2,5,Sy2,,40.5|5.2
142,40.6,5.5,4,Sy1,,40.6|5.5
143,40.7,0,5,Sy2,,40.7|0
144,41,53.5,2,Galaxy,,41|53.5
145,41.2,-24.5,6,LINER,,41.2|-24.5
146,41.2,62.5,4,Sy1,,41.2|62.5
147,41.3,10.8,7,BLLac,,41.3|10.8
148,42.2,26.5,5,Sy2,,42.2|26.5
149,42.6,46.8,2,Galaxy,,42.6|46.8
150,42.7,54.7,5,Sy2,,42.7|54.7
151,42.7,41.7,5,Sy2,,42.7|41.7
152,42.9,-16.7,5,Sy2,,42.9|-16.7
153,42.9,-68.1,2,Galaxy,,42.9|-68.1
154,43.1,43.2,2,QSO/LPQ,,43.1|43.2
155,43.1,-8.5,5,"Sy2,hidden",,43.1|-8.5
156,43.8,-0.2,5,Sy2,,43.8|-0.2
157,44,19.4,9,CV/DQHer,,44|19.4
158,44.1,-32.2,5,Sy2,,44.1|-32.2
159,44.7,13.6,3,GalaxyCluster,,44.7|13.6
160,44.9,44.3,2,Galaxy,,44.9|44.3
161,45,-10.8,4,Sy1,,45|-10.8
162,46,-1.1,4,Sy1,,46|-1.1
163,46.9,-72.8,4,Sy1.2,,46.9|-72.8
164,47,-23,5,Sy2,,47|-23
165,47.7,32.7,6,Sy,,47.7|32.7
166,47.8,-20.8,4,Sy1.5,,47.8|-20.8
167,48,-76.9,8,Sy1.2/FSRQ,,48|-76.9
168,48,50.5,2,Galaxy,,48|50.5
169,48.3,41.3,4,Sy1,,48.3|41.3
170,49.3,1.3,5,Sy2LINER,,49.3|1.3
171,49.6,68.5,5,Sy1.9,,49.6|68.5
172,50,41.5,5,Sy2/PerseusCluster,,50|41.5
173,51.2,34.2,4,Sy1,,51.2|34.2
174,51.3,-41.9,4,Sy1,,51.3|-41.9
175,51.3,40.7,6,doubleAGN,,51.3|40.7
176,51.4,-9.1,0,transient?,,51.4|-9.1
177,51.3,-56.6,2,XBONG,,51.3|-56.6
178,52.2,-28.7,5,Sy1.9,,52.2|-28.7
179,52.7,5.6,4,Sy1,,52.7|5.6
180,52.8,43.9,9,CV/DQHer,,52.8|43.9
181,52.8,-5.1,5,Sy2,,52.8|-5.1
182,53.3,37.3,4,Sy1.5,,53.3|37.3
183,53.4,-36.1,5,Sy1.8,,53.4|-36.1
184,53.6,-15.2,4,Sy1.5,,53.6|-15.2
185,53.7,53.2,13,HMXB/NS,,53.7|53.2
186,53.8,19.1,8,Sy1,,53.8|19.1
187,54.1,32.3,8,QSO,,54.1|32.3
188,55.5,-21.2,4,Sy1,,55.5|-21.2
189,56.3,-39.6,4,Sy1,,56.3|-39.6
190,56.8,-30.4,4,Sy1,,56.8|-30.4
191,57.3,-12,7,BLLac,,57.3|-12
192,57.6,-50.3,5,Sy2,,57.6|-50.3
193,57.9,-40.5,4,Sy1,,57.9|-40.5
194,58.2,-68.5,7,BLLac,,58.2|-68.5
195,58.4,37.2,5,Sy2,,58.4|37.2
196,58.5,2.8,4,Sy1,,58.5|2.8
197,58.8,31,13,HMXB/NS,,58.8|31
198,59.1,-62.9,5,Sy1.9,,59.1|-62.9
199,59.2,-40.7,5,Sy1.9,,59.2|-40.7
200,59.4,41.9,2,Galaxy,,59.4|41.9
201,59.8,-30.2,4,Sy1LINER,,59.8|-30.2
202,59.8,-30.3,5,Sy1.9,,59.8|-30.3
203,59.9,51,8,QSO/LP,,59.9|51
204,60.6,-18,5,Sy2Liner,,60.6|-18
205,61,-36.1,8,LPQ/FSRQ,,61|-36.1
206,61.3,-37.2,4,Sy1,,61.3|-37.2
207,61.4,-13.1,8,QSO/HP,,61.4|-13.1
