oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
473201200005489,44530342,2458199.8093168125,58199.303425900000,13.1205835,0.0123677235,32768,zr,187.2779276,2.0524050000000000,0.379999995,-0.00300000003,20180322303113,473,1,2,19.9599991,25.0088787,0.0464100093,0.100406706,4.17287047E-05,30.0,1.171,1
473201200005489,46023870,2458214.7445445624,58214.238703700000,13.1172094,0.0123718372,32768,zr,187.2779461,2.0524240000000000,0.754999995,-0.00200000009,20180406238704,473,1,2,19.5699997,25.4382038,0.0425989628,0.113286301,3.91208414E-05,30.0,1.225,1
473201200005489,46024243,2458214.7482714048,58214.242430600000,13.1140127,0.0123757366,32768,zr,187.2779338,2.0524261000000000,0.685999990,-0.00400000019,20180406242407,473,1,2,19.5300007,25.1229858,0.0430514738,0.101839043,4.19433563E-05,30.0,1.215,3
473201200005489,46327936,2458217.7851480370,58217.279363400000,13.1244888,0.0123629635,0,zr,187.2779289,2.0524136000000000,0.669000030,0.00899999961,20180409279363,473,1,2,21.2500000,26.1237679,0.0238038488,0.110359482,1.09648790E-05,30.0,1.144,1
473201200005489,46328027,2458217.7860624180,58217.280277800000,13.1166782,0.0123724844,0,zr,187.2779282,2.0524185000000000,0.370000005,-0.03200000152,20180409280278,473,1,2,21.3299999,26.1259556,0.0226087160,0.108322047,9.83016980E-06,30.0,1.144,3
473201200005489,46330437,2458217.8101591120,58217.304375000000,13.1135969,0.0123762460,0,zr,187.2779234,2.0524178000000000,0.837000012,0.01799999923,20180409304363,473,1,2,21.3299999,26.0779629,0.0233612116,0.110267609,1.04244073E-05,30.0,1.145,3
473201200005489,46330530,2458217.8110849927,58217.305300900000,13.1176958,0.0123712448,0,zr,187.2779296,2.0524071000000000,0.964999974,0.02700000070,20180409305289,473,1,2,21.2000008,26.0330791,0.0243143141,0.110946603,1.14424802E-05,30.0,1.145,1
473201200005489,46427667,2458218.7824410480,58218.276678200000,13.1130600,0.0123769008,0,zr,187.2779158,2.0524196000000000,0.625999987,0.03500000015,20180410276493,473,1,2,21.0900002,25.9984055,0.0242872685,0.111761674,1.12709386E-05,30.0,1.144,3
473201200005489,46430256,2458218.8083316614,58218.302569400000,13.1191921,0.0123694176,0,zr,187.2779447,2.0524313000000000,1.792999983,0.02700000070,20180410302569,473,1,2,21.0900002,26.0936356,0.0253446102,0.116134293,1.23620566E-05,30.0,1.145,3
473201200005489,46524444,2458219.7501845276,58219.244444400000,13.1240368,0.0123635139,0,zr,187.2779390,2.0524262000000000,0.570999980,0.00200000009,20180411244433,473,1,2,20.3600006,25.9100704,0.0325267874,0.115388803,2.03008094E-05,30.0,1.179,3
473201200005489,46530398,2458219.8097201890,58219.303981500000,13.1432743,0.0123401266,32768,zr,187.2780272,2.0525019000000000,1.317000031,-0.04800000042,20180411303981,473,1,2,19.5400009,25.2458382,0.0473418124,0.121142343,5.24130955E-05,30.0,1.148,3
473201200005489,46725503,2458221.7607227320,58221.255034700000,13.1316071,0.0123542994,0,zr,187.2780468,2.0526334000000000,2.523999929,-0.02600000054,20180413255035,473,1,2,19.7199993,25.9002323,0.0393551029,0.116920911,3.31882984E-05,30.0,1.155,1
473201200005489,47026240,2458224.7680052524,58224.262407400000,13.1272688,0.0123595782,0,zr,187.2779222,2.0524463000000000,1.146999955,-0.01200000010,20180416262396,473,1,2,20.4599991,25.9826641,0.0303404741,0.113390267,1.79641829E-05,30.0,1.143,3
473201200005489,47026331,2458224.7689080240,58224.263310200000,13.1207199,0.0123675568,0,zr,187.2779393,2.0524357000000000,1.322000027,0.01600000076,20180416263310,473,1,2,20.7800007,25.9970875,0.0273241326,0.116401881,1.47039927E-05,30.0,1.143,1
473201200005489,47027954,2458224.7851458980,58224.279548600000,13.1215458,0.0123665500,0,zr,187.2779291,2.0524335000000000,0.528999984,0.04899999872,20180416279537,473,1,2,21.0300007,26.0971050,0.0242335405,0.117483735,1.16382316E-05,30.0,1.142,1
473201200005489,47028137,2458224.7869745386,58224.281377300000,13.1279888,0.0123587018,0,zr,187.2779290,2.0524302000000000,1.148000002,0.01600000076,20180416281366,473,1,2,20.8600006,26.0255756,0.0270850230,0.120553195,1.44435053E-05,30.0,1.143,3
473201200005489,47327126,2458227.7767547760,58227.271261600000,13.1202488,0.0123681305,0,zr,187.2779672,2.0524443000000000,1.919000030,0.03999999911,20180419271215,473,1,2,20.6200008,25.8118839,0.0306362100,0.124275275,1.82581734E-05,30.0,1.142,3
