oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
766207400013324,44343332,2458197.9319649762,58197.433321800000,16.522049,0.0134103056,0,zr,292.45996640000000,46.373041100000000,1.14900005,-0.0430000015,20180320433275,766,7,4,20.3400002,25.9308167,0.0166463051,0.0662955642,7.19238187E-06,30.0,1.82799995,2
766207400013324,46238960,2458216.8888705110,58216.389606500000,16.542526,0.0134811746,0,zr,292.46003270000000,46.372998000000000,0.72899997,0.0250000004,20180408389572,766,7,4,20.3899994,26.0804081,0.0150995702,0.0933350995,5.53820428E-06,30.0,1.74000001,2
766207400013324,46251717,2458217.0164445780,58216.517175900000,16.517281,0.0133939954,0,zr,292.46006240000000,46.373089500000000,0.48699999,0.0010000000,20180408517141,766,7,4,19.8999996,26.2026119,0.0220514648,0.1010286957,1.19413271E-05,30.0,1.10000002,2
766207400013324,46251813,2458217.0174053144,58216.518136600000,16.512730,0.0133784963,0,zr,292.46003870000000,46.373103100000000,0.50099999,0.0199999996,20180408518102,766,7,4,19.7399998,26.2140541,0.0209515933,0.0982116833,1.09595276E-05,30.0,1.09800005,1
766207400013324,46548601,2458219.9853950604,58219.486018500000,16.508245,0.0133632859,0,zr,292.46003030000000,46.373036900000000,1.00300002,-0.0199999996,20180411486018,766,7,4,20.2500000,26.0779781,0.0158347972,0.0943439007,6.24775203E-06,30.0,1.15300000,1
766207400013324,46550565,2458220.0050369925,58219.505659700000,16.543541,0.0134847211,0,zr,292.45999730000000,46.373057300000000,0.63400000,0.0060000001,20180411505660,766,7,4,19.5799999,25.7872162,0.0280966405,0.1010497138,1.93212054E-05,30.0,1.10699999,1
766207400013324,46850046,2458222.9999512600,58222.500463000000,16.525879,0.0134234587,0,zr,292.46001190000000,46.373005900000000,0.78500003,0.0309999995,20180414500359,766,7,4,20.7700005,26.2191696,0.0129683986,0.0884030387,4.18658465E-06,30.0,1.10099995,2
766207400013324,47540256,2458229.9023197475,58229.402569400000,16.604733,0.0137048522,0,zr,292.45994000000000,46.372988300000000,0.49800000,0.0040000002,20180421402500,766,7,4,20.7000008,26.2222157,0.0176695287,0.0785009265,7.67961319E-06,30.0,1.37399995,2
766207400013324,47542537,2458229.9251216360,58229.425370400000,16.608150,0.0137175219,0,zr,292.46000650000000,46.372997000000000,0.24900000,0.0160000008,20180421425301,766,7,4,20.8299999,26.2366657,0.0146977156,0.0817171782,5.42996486E-06,30.0,1.26499999,2
766207400013324,47545252,2458229.9522753970,58229.452523100000,16.582417,0.0136231286,0,zr,292.46002030000000,46.372987400000000,0.53700000,0.0199999996,20180421452442,766,7,4,20.8099995,26.2408905,0.0145814158,0.0846331492,5.36973539E-06,30.0,1.16999996,2
766207400013324,47642550,2458230.9252990894,58230.425509300000,16.581741,0.0136206839,0,zr,292.46000440000000,46.372992100000000,0.77800000,-0.0370000005,20180422425440,766,7,4,21.1299992,26.2171669,0.0137339700,0.0861681178,4.63330116E-06,30.0,1.25399995,2
766207400013324,47645138,2458230.9511797046,58230.451388900000,16.549528,0.0135057168,0,zr,292.45999500000000,46.372988400000000,0.87000000,0.0299999993,20180422451285,766,7,4,20.6700001,25.9338894,0.0206384044,0.0832995698,1.05536265E-05,30.0,1.16600001,2
766207400013324,47840530,2458232.9051672970,58232.405300900000,16.574680,0.0135951918,0,zr,292.46001410000000,46.373048800000000,1.71000004,0.0780000016,20180424405243,766,7,4,20.5499992,26.2182598,0.0169282872,0.0934527144,7.13007239E-06,30.0,1.31799996,2
766207400013324,48833968,2458242.8399417430,58242.339687500000,16.539928,0.0134721100,0,zr,292.45999570000000,46.372994000000000,0.88499999,0.0570000000,20180504339549,766,7,4,20.7700005,26.2098122,0.0146720549,0.0837200060,5.49692868E-06,30.0,1.55299997,2
766207400013324,48836079,2458242.8610536850,58242.360798600000,16.535030,0.0134550771,0,zr,292.46000170000000,46.372988000000000,1.06799996,0.0640000030,20180504360718,766,7,4,20.7800007,26.2238979,0.0153703047,0.0848520398,6.04124625E-06,30.0,1.40999997,2
766207400013324,48847728,2458242.9775398034,58242.477280100000,16.547087,0.0134971421,0,zr,292.45997030000000,46.373005700000000,0.96300000,-0.0130000003,20180504477234,766,7,4,20.2700005,26.2505207,0.0134429578,0.0934239849,4.69319684E-06,30.0,1.05400002,1
766207400013324,48847824,2458242.9785004390,58242.478240700000,16.551407,0.0135123292,0,zr,292.46000200000000,46.373010500000000,1.21700001,0.0549999997,20180504478206,766,7,4,20.5100002,26.2468472,0.0127673410,0.0895208791,4.21472487E-06,30.0,1.05299997,2
766207400013324,50144679,2458255.9475550990,58255.446794000000,16.504650,0.0133511377,0,zr,292.46000480000000,46.372993000000000,0.62000000,0.0390000008,20180517446794,766,7,4,21.3299999,26.2687473,0.0107531138,0.0818156600,2.82556812E-06,30.0,1.04900002,1
766207400013324,50243203,2458256.9328353300,58256.432037000000,16.509644,0.0133680217,0,zr,292.45999090000000,46.372998300000000,0.73400003,0.0439999998,20180518431979,766,7,4,21.3700008,26.2495975,0.0128303003,0.0917691737,4.09804989E-06,30.0,1.06200004,2
766207400013324,50245101,2458256.9518175484,58256.451018500000,16.529503,0.0134359477,0,zr,292.46001740000000,46.372995500000000,0.29899999,0.0430000015,20180518450891,766,7,4,21.4899998,26.2584267,0.0129940826,0.0859123096,4.25609824E-06,30.0,1.04299998,2
766207400013324,50247318,2458256.9739827860,58256.473182900000,16.514952,0.0133860568,0,zr,292.46001860000000,46.372998900000000,0.42699999,0.0170000009,20180518473125,766,7,4,21.4599991,26.2668457,0.0120999459,0.0867774114,3.68191149E-06,30.0,1.03299999,2
766207400013324,50248184,2458256.9826405130,58256.481840300000,16.496498,0.0133237410,0,zr,292.46000890000000,46.372996700000000,0.56099999,0.0250000004,20180518481389,766,7,4,21.2099991,26.2544670,0.0116031272,0.0877309889,3.32257036E-06,30.0,1.03199995,2
766207400013324,50334618,2458257.8470132747,58257.346180600000,16.502241,0.0133430185,0,zr,292.46003760000000,46.373004200000000,1.26999998,0.0590000004,20180519346157,766,7,4,20.9099998,26.1832790,0.0169307292,0.0954949185,7.13483541E-06,30.0,1.27699995,2
766207400013324,50339327,2458257.8941099680,58257.393275500000,16.511307,0.0133736627,0,zr,292.46002120000000,46.373027300000000,1.26600003,0.0599999987,20180519393241,766,7,4,21.1599998,26.2005539,0.0152482735,0.0874445066,5.74709748E-06,30.0,1.12500000,2
766207400013324,50341120,2458257.9120388497,58257.411203700000,16.520206,0.0134039968,0,zr,292.46000490000000,46.373014100000000,1.33399999,0.0540000014,20180519411157,766,7,4,20.8799992,26.2065315,0.0149067231,0.0936875418,5.50441746E-06,30.0,1.08899999,2
766207400013324,50342710,2458257.9279422530,58257.427106500000,16.502754,0.0133447479,0,zr,292.45997350000000,46.373013400000000,1.29999995,0.0509999990,20180519427072,766,7,4,21.1900005,26.1962471,0.0183454677,0.0880692154,8.41731071E-06,30.0,1.06500006,2
